SN,Institution,Region
80," Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Mumbai
81, Rajendra Mane College of Engineering & Technology Ambav Deorukh,Mumbai
82," Atharva College of Engineering,Malad(West),Mumbai",Mumbai
83," St. Francis Institute of Technology,Borivali, Mumbai",Mumbai
84," S.S.P.M.'s College of Engineering, Kankavli",Mumbai
85," Mahatma Education Society's Pillai College of Engineering, New Panvel",Mumbai
86," Don Bosco Institute of Technology, Mumbai",Mumbai
87," K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai",Mumbai
88," Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",Mumbai
89," S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Mumbai
90," WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR",Mumbai
91," Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai",Mumbai
92," Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",Mumbai
93," Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Mumbai
94," Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",Mumbai
95," Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",Mumbai
96," Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur",Mumbai
97, Yadavrao Tasgaonkar College of Engineering & Management,Mumbai
98," Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon",Mumbai
99," Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",Mumbai
100," Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Mumbai
101," Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",Mumbai
102," Bharat College of Engineering, Kanhor, Badlapur(W)",Mumbai
103," Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post",Mumbai
104," Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",Mumbai
105," B.R. Harne College of Engineering & Technology, Karav, Tal",Mumbai
106," Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.",Mumbai
107," Vishvatmak Jangli Maharaj Ashram Trust's Vishvatmak Om Gurudev College of Engineering, Mohili",Mumbai
108," G.M.Vedak Institute of Technology, Tala, Raigad.",Mumbai
109," Universal College of Engineering,Kaman Dist. Palghar",Mumbai
110," VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",Mumbai
111," Ideal Institute of Technology, Wada, Dist.Thane",Mumbai
112," Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",Mumbai
113," New Horizon Institute of Technology & Management, Thane",Mumbai
114," A. P. Shah Institute of Technology, Thane",Mumbai
115," Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",Mumbai
116," Indala College Of Engineering, Bapsai Tal.Kalyan",Mumbai
117," Government College of Engineering, Chandrapur",Nagpur
118," Laxminarayan Institute of Technology, Nagpur",Nagpur
119," Government College of Engineering, Nagpur",Nagpur
120," Kavi Kulguru Institute of Technology & Science, Ramtek",Nagpur
121," Shri Ramdeobaba College of Engineering and Management, Nagpur",Nagpur
122," Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",Nagpur
123," Bapurao Deshmukh College of Engineering, Sevagram",Nagpur
124," Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur",Nagpur
125," Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Nagpur
126," Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Nagpur
127," Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur",Nagpur
128," Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur",Nagpur
129," Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",Nagpur
130," Jaidev Education Society, J D College of Engineering and Management, Nagpur",Nagpur
131," Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",Nagpur
132," Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur",Nagpur
133," Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur",Nagpur
134," Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara",Nagpur
135," Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Nagpur
136," Wainganga College of Engineering and Management, Dongargaon, Nagpur",Nagpur
137," K.D.K. College of Engineering, Nagpur",Nagpur
138, Vidarbha Bahu,Nagpur
139, Rajiv Gandhi College of Engineering Research & Technology Chandrapur,Nagpur
140," Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",Nagpur
141," Lokmanya Tilak Jankalyan Shikshan Sanstha's , Priyadarshini Institute of Engineering and Technology, Nagpur",Nagpur
142," Anjuman College of Engineering & Technology, Nagpur",Nagpur
143," ST. Vincent Pallotti College of Engineering & Technology, Nagpur",Nagpur
144," JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",Nagpur
145," Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road,Nagpur",Nagpur
146," Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College of Engineering, Nagpur",Nagpur
147," Swaminarayan Siddhanta Institute Of Technology, Nagpur",Nagpur
148," Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",Nagpur
149," M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Badravati",Nagpur
150," Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur",Nagpur
151," K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur",Nagpur
152," Vidharbha Bahu uddeshiya Shikshan Sanstha's Abha Gaikwad – Patil College of Engineering, Nagpur",Nagpur
153," Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",Nagpur
154," Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)",Nagpur
155," V M Institute of Engineering and Technology, Dongargaon, Nagpur",Nagpur
156," Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara",Nagpur
157," Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",Nagpur
158," Suryodaya College of Engineering & Technology, Nagpur",Nagpur
159," R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha",Nagpur
160," Bajaj Institute of Technology, Wardha",Nagpur
161," University Institute of Chemical Technology, North Maharashtra University, Jalgaon",Nashik
162," Government College of Engineering, Jalgaon",Nashik
163," Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",Nashik
164," Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",Nashik
165," Khandesh College Education Society's College Of Engineering And Management, Jalgaon",Nashik
166," Shri Gulabrao Deokar College of Engineering, Jalgaon",Nashik
167," Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",Nashik
168," Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",Nashik
169," K. K. Wagh Institute of Engineering Education and Research, Nashik",Nashik
170," Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",Nashik
171," Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",Nashik
172," Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",Nashik
173," Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",Nashik
174," MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",Nashik
175," G. H. Raisoni Institute of Business Management,Jalgaon",Nashik
176," Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",Nashik
177," Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Nashik
178," Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",Nashik
179," P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",Nashik
180," T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",Nashik
181," Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",Nashik
182," Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",Nashik
183," Godavari Foundation's Godavari College Of Engineering, Jalgaon",Nashik
184," R. C. Patel Institute of Technology, Shirpur",Nashik
185," SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)",Nashik
186," Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Nashik
187," Vishwabharati Academy's College of Engineering, Ahmednagar",Nashik
188," Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",Nashik
189," Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik",Nashik
190," Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",Nashik
191," Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)",Nashik
192," Jamia Institute Of Engineering And Management Studies, Akkalkuwa",Nashik
193," PUNE VIDYARTHI GRIHA’S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK",Nashik
194," Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",Nashik
195," Adsul's Technical Campus, Chas Dist. Ahmednagar",Nashik
196," Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",Nashik
197," Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Nashik
198," K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik.",Nashik
199," College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon",Nashik
200," Sanghavi College of Engineering, Varvandi, Nashik.",Nashik
201," Jawahar Education Society's Institute of Technology, Management & Research, Nashik.",Nashik
202," Vidya Niketan College of Engineering, Bota Sangamner",Nashik
203," Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar",Nashik
204," Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",Nashik
205," Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Nashik
206," Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule",Nashik
207," Government College of Engineering & Research, Avasari Khurd",Pune
208," Government College of Engineering, Karad",Pune
209," College of Engineering, Pune",Pune
210," Walchand College of Engineering, Sangli",Pune
211," Department of Technology, Shivaji University, Kolhapur",Pune
212," TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Pune
213," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Pune
214," Progressive Education Society's Modern College of Engineering, Pune",Pune
215," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Pune
216," Genba Sopanrao Moze College of Engineering, Baner",Pune
217," JSPM'S Jaywantrao Sawant College of Engineering,Pune",Pune
218," MIT Academy of Engineering,Alandi, Pune",Pune
219," Choudhary Attar Singh Yadav Memorial Trust,Siddhant College of Engineering, Maval",Pune
220," G.H.Raisoni College of Engineering & Management, Wagholi, Pune",Pune
221," Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",Pune
222," JSPM's Imperial College of Engineering and Research, Wagholi, Pune",Pune
223," Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Pune
