,ID,CollegeName,CourseName,Caste
57,130," D.Y. Patil College of Engineering and Technology, Kolhapur",Civil Engineering,GSCS
58,131," D.Y. Patil College of Engineering and Technology, Kolhapur",Computer Science and Engineering,GOPENS
59,132," D.Y. Patil College of Engineering and Technology, Kolhapur",Computer Science and Engineering,GSCS
60,133," Walchand Institute of Technology, Solapur",Civil Engineering,GOPENS
61,134," Walchand Institute of Technology, Solapur",Civil Engineering,GSCS
62,135," Walchand Institute of Technology, Solapur",Computer Science and Engineering,GOPENS
63,136," Walchand Institute of Technology, Solapur",Computer Science and Engineering,GSCS
64,137," Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Civil Engineering,GOPENS
65,138," Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Civil Engineering,GSCS
66,139," Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Computer Science and Engineering,GOPENS
67,140," Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Computer Science and Engineering,GSCS
68,141," Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Civil Engineering,GOPENS
69,142," Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Civil Engineering,GSCS
70,143," Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Computer Science and Engineering,GOPENS
71,144," Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Computer Science and Engineering,GSCS
72,145," Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli",Civil Engineering,GOPENS
73,146," Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli",Civil Engineering,GSCS
74,147," Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli",Computer Science and Engineering,GOPENS
75,148," Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli",Computer Science and Engineering,GSCS
76,149," Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara",Civil Engineering,GOPENS
77,150," Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara",Civil Engineering,GSCS
78,151," Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara",Computer Science and Engineering,GOPENS
79,152," Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara",Computer Science and Engineering,GSCS
80,157," Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",Civil Engineering,GOPENS
81,158," Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",Civil Engineering,GSCS
82,169," Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon",Civil Engineering,GOPENS
83,170," Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon",Civil Engineering,GSCS
84,177," Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",Civil Engineering,GOPENS
85,178," Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",Civil Engineering,GSCS
86,181," All India Shri Shivaji Memorial Society's College of Engineering, Pune",Civil Engineering,GOPENS
87,182," All India Shri Shivaji Memorial Society's College of Engineering, Pune",Civil Engineering,GSCS
88,193," Annasaheb Dange College of Engineering and Technology, Ashta, Sangli",Civil Engineering,GOPENS
89,194," Annasaheb Dange College of Engineering and Technology, Ashta, Sangli",Civil Engineering,GSCS
90,195," Annasaheb Dange College of Engineering and Technology, Ashta, Sangli",Computer Science and Engineering,GOPENS
91,196," Annasaheb Dange College of Engineering and Technology, Ashta, Sangli",Computer Science and Engineering,GSCS
92,197," Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",Civil Engineering,GOPENS
