COLLEGE,REGION
" Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Mumbai
 Rajendra Mane College of Engineering & Technology Ambav Deorukh,Mumbai
" Atharva College of Engineering,Malad(West),Mumbai",Mumbai
" St. Francis Institute of Technology,Borivali, Mumbai",Mumbai
" S.S.P.M.'s College of Engineering, Kankavli",Mumbai
" Mahatma Education Society's Pillai College of Engineering, New Panvel",Mumbai
" Don Bosco Institute of Technology, Mumbai",Mumbai
" K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai",Mumbai
" S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Mumbai
" Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai",Mumbai
" Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",Mumbai
" Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Mumbai
" Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",Mumbai
" Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",Mumbai
" Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur",Mumbai
" Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",Mumbai
" Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Mumbai
" Bharat College of Engineering, Kanhor, Badlapur(W)",Mumbai
" Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post",Mumbai
" Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",Mumbai
" G.M.Vedak Institute of Technology, Tala, Raigad.",Mumbai
" Universal College of Engineering,Kaman Dist. Palghar",Mumbai
" Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",Mumbai
" A. P. Shah Institute of Technology, Thane",Mumbai
" Government College of Engineering, Chandrapur",Nagpur
" Laxminarayan Institute of Technology, Nagpur",Nagpur
" Government College of Engineering, Nagpur",Nagpur
" Kavi Kulguru Institute of Technology & Science, Ramtek",Nagpur
" Shri Ramdeobaba College of Engineering and Management, Nagpur",Nagpur
" Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",Nagpur
" Bapurao Deshmukh College of Engineering, Sevagram",Nagpur
" Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur",Nagpur
" Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Nagpur
" Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Nagpur
" Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur",Nagpur
" Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur",Nagpur
" Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",Nagpur
" Jaidev Education Society, J D College of Engineering and Management, Nagpur",Nagpur
" Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",Nagpur
" Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur",Nagpur
" Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur",Nagpur
" Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara,Nagpur",Nagpur
" Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Nagpur
" Wainganga College of Engineering and Management, Dongargaon, Nagpur",Nagpur
" KDK College of Engineering, Umrer, Nagpur",Nagpur
" K.D.K. College of Engineering, Nagpur",Nagpur
"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur",Nagpur
 Rajiv Gandhi College of Engineering Research & Technology Chandrapur,Nagpur
" Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",Nagpur
" Lokmanya Tilak Jankalyan Shikshan Sanstha's , Priyadarshini Institute of Engineering and Technology, Nagpur",Nagpur
" Anjuman College of Engineering & Technology, Nagpur",Nagpur
" ST. Vincent Pallotti College of Engineering & Technology, Nagpur",Nagpur
" JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",Nagpur
" Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road,Nagpur",Nagpur
" Rajiv Gandhi College of Engineering & Research, Hingna Road, Nagpur",Nagpur
" Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College of Engineering, Nagpur",Nagpur
" KDKs Shrimati Rajashri Mulak College of Engineering for Womens, Nagpur",Nagpur
" Sarvasiddhanta Education Soc's Nuva College of Engineering and Technology, Nagpur",Nagpur
" Datta Meghe Institute of Medical Science's Datta Meghe Institute of Engineering & Technology & Research, Savangi (Meghe)",Nagpur
" Dr. Babasaheb Ambedkar College of Engineering and Research, Wanadongri, Nagpur",Nagpur
" Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",Nagpur
" M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Badravati",Nagpur
" Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur",Nagpur
" K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur",Nagpur
" Vidharbha Bahu uddeshiya Shikshan Sanstha's Abha Gaikwad – Patil College of Engineering, Nagpur",Nagpur
" Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",Nagpur
" Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)",Nagpur
" V M Institute of Engineering and Technology, Dongargaon, Nagpur",Nagpur
" Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara",Nagpur
" Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",Nagpur
" G.H.Raisoni Academy of Engineering & Technology, Nagpur",Nagpur
" Suryodaya College of Engineering & Technology, Nagpur",Nagpur
" Bajaj Institute of Technology, Wardha",Nagpur
" University Institute of Chemical Technology, North Maharashtra University, Jalgaon",Nashik
" Government College of Engineering, Jalgaon",Nashik
" Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",Nashik
" Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",Nashik
" G.H. Raisoni Institute of Engineering and Management, Jalgaon",Nashik
" K. C. E. Societys College of Engineering and Information Technology, Jalgaon",Nashik
" Shri Gulabrao Deokar College of Engineering, Jalgaon",Nashik
" Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering, Nashik",Nashik
" Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",Nashik
" K. K. Wagh Institute of Engineering Education and Research, Nashik",Nashik
" Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",Nashik
" Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",Nashik
" Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",Nashik
" Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",Nashik
" MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",Nashik
" Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",Nashik
" Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Nashik
" Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",Nashik
" P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",Nashik
" T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",Nashik
" Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",Nashik
" Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",Nashik
" Godavari Foundation's Godavari College Of Engineering, Jalgaon",Nashik
" R. C. Patel Institute of Technology, Shirpur",Nashik
" SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)",Nashik
" G. H. Raisoni College of Engineering and Management, Ahmednagar",Nashik
" Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Nashik
" Vishwabharati Academy's College of Engineering, Ahmednagar",Nashik
" Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",Nashik
" Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik",Nashik
" Shri Chhatrapati Shivaji College of Engineering, (Rahuri Factory), Tal.Rahuri, Dist.Ahmednagar",Nashik
" Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",Nashik
" Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)",Nashik
" Jamia Institute Of Engineering And Management Studies, Akkalkuwa",Nashik
" Pune Vidyarthi Griha's College Of Engineering, Nashik",Nashik
